ax   ay   az   gx   gy   gz   mx   my   mz
time 8:53:21	mag_center= 610 180 400		radii = 1.000000 1.000000 1.000000		fitacry = 0.000000 0.000000
163 432 906 2 -1 1 -226 -400 -2380 
168 430 902 -2 -4 1 -232 -382 -2386 
166 427 915 0 -4 0 -255 -400 -2398 
168 434 915 0 -1 0 -232 -394 -2399 
159 427 914 -2 -3 0 -226 -394 -2374 
166 422 901 0 -4 -1 -249 -388 -2393 
167 425 903 -2 -1 -1 -238 -394 -2374 
164 434 917 -2 -2 -1 -249 -400 -2386 
165 439 916 -2 -6 -1 -232 -400 -2399 
184 440 912 -5 -9 -1 -238 -382 -2393 
175 435 909 -4 -3 -1 -249 -388 -2399 
164 438 900 -2 -5 -2 -249 -394 -2406 
171 449 921 -5 -10 -3 -238 -382 -2399 
174 446 911 -4 -11 -2 -243 -405 -2399 
166 445 889 0 -6 -1 -238 -376 -2386 
164 446 896 -1 -15 -2 -232 -405 -2386 
176 452 898 1 -22 -1 -249 -400 -2419 
169 457 893 2 -10 0 -243 -388 -2406 
167 466 889 0 -3 0 -238 -382 -2412 
173 457 896 0 -1 0 -238 -388 -2412 
171 458 900 -1 2 0 -238 -400 -2412 
174 463 887 1 -3 1 -243 -405 -2412 
170 461 898 -2 -5 0 -243 -400 -2413 
172 461 893 0 1 0 -243 -400 -2406 
169 462 884 -2 -3 0 -243 -400 -2413 
171 460 887 -1 -2 0 -255 -388 -2406 
175 459 901 -3 -5 0 -255 -411 -2406 
181 468 893 -7 -6 0 -249 -376 -2432 
180 470 881 -2 -1 1 -249 -394 -2419 
187 463 894 -1 -1 1 -267 -394 -2419 
178 462 883 -2 -2 -1 -255 -388 -2419 
185 472 880 0 2 0 -249 -394 -2426 
181 461 892 0 0 0 -243 -388 -2426 
179 469 896 -1 0 0 -243 -400 -2400 
183 471 885 -1 0 0 -243 -400 -2432 
194 471 884 -2 -1 0 -249 -405 -2420 
188 466 887 -2 0 0 -255 -394 -2432 
184 463 883 0 -1 0 -255 -394 -2413 
179 463 887 1 0 0 -243 -405 -2439 
179 462 890 1 2 0 -255 -388 -2433 
181 467 888 2 0 0 -255 -388 -2420 
187 465 885 0 -1 1 -249 -400 -2432 
178 468 885 -1 -1 1 -249 -388 -2413 
185 460 882 0 0 0 -238 -405 -2426 
181 461 888 2 2 1 -238 -400 -2387 
183 465 885 1 1 1 -249 -405 -2420 
189 466 893 1 2 1 -249 -400 -2420 
188 466 908 5 7 1 -255 -394 -2393 
191 459 882 22 26 2 -243 -394 -2394 
161 427 885 50 53 3 -249 -405 -2400 
137 406 933 56 68 1 -243 -388 -2407 
123 379 959 64 81 0 -220 -394 -2355 
98 368 940 72 90 1 -232 -365 -2349 
98 364 917 31 50 -7 -226 -371 -2342 
58 321 943 18 41 -15 -220 -376 -2356 
51 296 906 44 88 -17 -209 -359 -2324 
42 232 1051 35 97 -19 -191 -348 -2311 
20 248 1001 49 116 -12 -168 -342 -2304 
-12 207 988 71 103 -3 -186 -330 -2259 
-33 149 945 19 87 -19 -168 -313 -2259 
31 93 1088 -14 128 -4 -145 -324 -2233 
-4 34 983 -10 166 6 -128 -336 -2188 
-33 39 874 -50 25 -37 -99 -319 -2175 
132 112 1006 -219 -88 -34 -122 -330 -2175 
122 103 862 -248 -38 2 -128 -382 -2169 
277 156 885 -248 -62 26 -122 -400 -2157 
347 158 899 -424 -115 29 -139 -463 -2169 
469 196 717 -534 -157 42 -151 -556 -2169 
827 315 689 -734 -340 86 -186 -648 -2233 
860 258 335 -698 -498 119 -226 -764 -2381 
1151 208 249 -730 -531 112 -226 -833 -2524 
1201 232 -233 -1069 -840 111 -203 -862 -2826 
649 -307 -339 -669 -742 50 -99 -816 -3058 
873 -228 -806 -537 -808 -18 11 -735 -3251 
801 -603 -388 -400 -785 -28 248 -591 -3354 
642 -716 -1047 77 -542 -95 387 -567 -3406 
978 -548 -1034 167 -530 -98 549 -614 -3419 
957 -717 -884 99 -328 -127 688 -631 -3406 
1221 -357 -849 521 94 -243 717 -741 -3374 
1330 -428 -640 709 318 -356 636 -909 -3303 
1448 -165 -316 821 520 -556 474 -1082 -3187 
1080 -506 -112 997 603 -664 254 -1181 -2961 
581 -54 301 1211 584 -713 23 -1180 -2659 
-79 -482 145 1137 391 -594 -99 -1030 -2363 
-264 -100 1104 448 172 -554 -168 -816 -2247 
-90 42 871 33 52 -242 -186 -718 -2240 
-73 89 1000 59 56 -136 -186 -643 -2221 
13 144 968 9 37 -87 -174 -619 -2202 
76 164 966 -28 -5 -56 -174 -602 -2215 
76 146 1043 -84 -15 -70 -186 -596 -2215 
