ax   ay   az   gx   gy   gz   mx   my   mz
time 8:53:21	mag_center= 610 180 400		radii = 1.000000 1.000000 1.000000		fitacry = 0.000000 0.000000
221 149 1008 9 12 5 954 -886 -2042 
218 140 1011 -2 8 0 937 -874 -2061 
220 147 998 3 7 -1 949 -874 -2049 
221 138 985 9 10 0 949 -869 -2049 
214 132 1008 8 11 -3 960 -886 -2035 
204 114 985 9 9 -5 949 -869 -2062 
194 104 1007 4 8 -5 972 -892 -2036 
205 115 993 7 13 -6 943 -874 -2061 
173 96 993 30 23 -4 949 -892 -2055 
210 116 994 29 25 -7 960 -880 -2042 
205 97 976 17 23 -9 978 -874 -2055 
233 80 948 43 35 -14 960 -851 -2061 
288 57 972 60 58 -24 983 -863 -2049 
551 111 929 84 87 -45 978 -851 -2062 
782 155 897 99 108 -98 995 -840 -2061 
589 -23 851 64 130 -222 1018 -845 -2074 
453 -195 892 10 164 -361 989 -892 -2081 
134 -417 1013 -62 184 -432 983 -967 -2107 
-262 -515 1112 -176 135 -418 931 -1054 -2152 
-503 -687 1336 -236 71 -294 879 -1141 -2204 
-362 -611 1774 -363 -45 -124 844 -1187 -2287 
-194 -666 1746 -459 -266 52 816 -1256 -2365 
345 -452 1001 -473 -595 201 833 -1256 -2443 
646 -332 724 -582 -922 260 862 -1268 -2450 
966 -373 427 -735 -1142 198 879 -1274 -2520 
589 -612 -591 -549 -1221 191 920 -1251 -2514 
698 -870 -217 -527 -1164 161 937 -1239 -2502 
351 -1106 -939 -796 -1320 139 954 -1222 -2494 
485 -1141 -757 -665 -1309 69 931 -1239 -2482 
376 -1011 -1351 -506 -995 70 920 -1245 -2488 
285 -1113 -720 -341 -545 -56 885 -1251 -2469 
369 -841 -805 -146 -148 -4 868 -1268 -2514 
196 -796 -1166 32 82 29 879 -1274 -2501 
546 -858 -1127 274 482 14 885 -1262 -2514 
803 -681 -1077 568 944 41 914 -1239 -2488 
837 -594 -515 689 1233 -192 914 -1239 -2488 
833 -151 45 987 1374 -285 897 -1239 -2449 
449 -188 524 1186 1247 -335 914 -1222 -2359 
497 34 650 1020 847 -395 902 -1129 -2229 
47 -168 1013 779 536 -316 925 -1077 -2159 
183 20 1040 457 324 -248 931 -1025 -2120 
176 81 1019 207 117 -116 937 -984 -2094 
191 120 972 106 52 -73 937 -955 -2094 
236 146 956 94 37 -30 949 -961 -2094 
216 144 1019 58 30 -16 943 -955 -2068 
186 131 1018 49 24 -13 943 -921 -2048 
148 102 1066 31 -3 -4 943 -938 -2074 
186 129 1004 15 -22 2 943 -932 -2081 
187 150 1017 4 -49 9 931 -926 -2055 
201 164 954 -6 -49 9 920 -921 -2074 
176 155 935 12 -38 13 908 -926 -2035 
197 166 1005 23 -5 18 920 -926 -2035 
210 166 989 1 -5 15 914 -915 -2035 
214 173 1000 -9 -14 13 920 -903 -2029 
214 172 1003 -10 -11 8 920 -921 -2041 
183 154 998 1 -4 6 920 -915 -2055 
178 158 979 -2 -11 3 908 -903 -2054 
173 163 990 7 -1 7 914 -921 -2048 
188 175 983 10 9 9 914 -915 -2029 
204 175 1006 -8 -1 9 914 -909 -2055 
198 172 996 4 9 5 925 -898 -2054 
211 169 1042 9 11 2 920 -903 -2042 
194 162 998 -2 7 -1 920 -903 -2035 
184 154 1008 10 2 1 925 -909 -2035 
180 159 987 6 -1 0 931 -915 -2048 
179 149 987 0 -2 0 914 -909 -2029 
177 137 1007 -1 3 0 937 -903 -2042 
177 143 1017 3 2 0 925 -898 -2041 
190 154 993 14 6 -1 914 -903 -2041 
167 148 988 14 10 -4 914 -892 -2029 
169 143 974 18 12 -5 920 -909 -2028 
162 138 994 13 11 -6 937 -892 -2042 
148 128 990 15 19 -7 925 -903 -2035 
167 124 1001 13 14 -6 931 -880 -2022 
181 111 970 21 20 -6 937 -892 -2028 
240 124 891 51 43 -7 960 -886 -2054 
397 207 847 60 74 -16 954 -874 -2054 
392 137 851 98 152 -58 983 -857 -2048 
366 72 881 96 206 -142 995 -857 -2061 
392 -27 1013 47 218 -225 1018 -886 -2080 
342 -189 1002 -43 207 -290 1018 -944 -2113 
138 -380 1247 -162 150 -342 1018 -996 -2203 
-44 -520 1157 -234 63 -332 949 -1094 -2222 
-435 -721 1323 -227 -20 -232 914 -1164 -2236 
-341 -847 1692 -410 -201 -118 891 -1227 -2306 
-174 -867 1839 -422 -340 96 850 -1250 -2396 
368 -729 1129 -178 -540 342 879 -1245 -2390 
693 -637 652 -360 -971 445 920 -1204 -2384 
759 -794 -193 -586 -1225 406 931 -1175 -2352 
748 -695 -932 -738 -1402 368 908 -1187 -2332 
359 -848 -767 -877 -1393 288 868 -1216 -2339 
460 -1122 -841 -947 -1355 131 827 -1268 -2442 
677 -423 -1261 -701 -1249 180 815 -1297 -2552 
592 -809 -566 -280 -577 75 862 -1303 -2532 
362 -1036 -1064 -288 -261 -136 815 -1297 -2591 
69 -1144 -1215 -25 -13 -126 804 -1320 -2604 
373 -1039 -1098 123 363 8 792 -1320 -2597 
884 -614 -1384 130 636 138 792 -1303 -2597 
484 -877 -1049 506 1029 46 815 -1314 -2597 
796 -170 -237 1142 1537 -154 787 -1297 -2475 
665 -92 255 1233 1373 -259 804 -1239 -2319 
344 -70 694 1206 1004 -424 862 -1158 -2183 
-57 -113 863 1031 649 -417 896 -996 -2073 
-72 22 1053 531 259 -323 902 -903 -2029 
7 128 1029 170 60 -172 914 -863 -2009 
38 149 895 89 25 -84 896 -840 -2022 
165 227 916 48 23 -43 896 -851 -2002 
85 173 986 28 54 -28 908 -845 -2015 
118 181 975 57 78 -24 920 -845 -2003 
109 167 1005 43 67 -13 914 -822 -1989 
86 117 1021 43 81 -16 949 -828 -2022 
57 109 1006 15 37 -17 949 -822 -2029 
17 66 1018 25 53 -10 954 -822 -2054 
75 64 1026 -11 58 -1 983 -828 -2022 
129 86 1032 -52 20 4 978 -828 -2035 
116 75 983 -1 36 7 978 -828 -2054 
153 50 1008 -8 70 3 1006 -840 -2048 
189 -15 1054 -105 69 -5 1001 -834 -2093 
102 -61 1015 24 130 -2 1041 -857 -2094 
115 -77 993 108 142 8 1070 -840 -2099 
81 -118 1027 29 79 0 1070 -845 -2131 
76 -72 990 52 50 -9 1076 -834 -2132 
46 -140 1044 17 -16 -37 1087 -828 -2144 
36 3 967 -100 -81 -63 1064 -845 -2144 
171 -23 972 -52 -83 -9 1041 -874 -2131 
97 -79 1108 -10 -74 -7 1053 -863 -2100 
-1 -59 1240 48 -91 -6 1006 -874 -2119 
47 113 764 209 -70 54 1018 -840 -2067 
-10 16 1000 -5 -37 18 1006 -805 -2041 
34 41 998 -81 10 5 1001 -822 -2048 
82 35 1009 -31 10 14 1001 -840 -2061 
139 59 1103 -146 -102 -21 989 -857 -2067 
175 99 1044 -116 -122 0 977 -869 -2067 
263 207 991 -126 -156 18 943 -909 -2054 
268 240 1037 -97 -178 24 914 -921 -2060 
338 289 992 -70 -198 20 902 -938 -2035 
346 360 932 -58 -171 45 850 -938 -2035 
252 316 820 38 -87 44 833 -932 -2002 
260 340 938 22 -46 33 833 -926 -1996 
270 342 597 18 7 38 827 -909 -2002 
280 281 939 8 -51 -3 839 -915 -1970 
260 333 1086 -103 -107 -48 804 -938 -2002 
268 353 806 59 13 17 775 -944 -1996 
202 264 966 258 177 80 821 -886 -1996 
62 283 978 417 189 80 868 -816 -1983 
-133 224 917 457 200 42 908 -701 -1957 
-84 301 775 377 131 28 937 -597 -1957 
-322 82 899 321 75 -34 960 -527 -1989 
-100 175 1001 95 28 -96 977 -498 -1983 
-84 115 638 8 40 -117 972 -504 -1996 
-216 -51 1142 38 142 -169 1006 -498 -2028 
80 -220 1006 -248 67 -281 1035 -585 -2028 
375 -167 829 -170 104 -301 1035 -689 -2041 
161 -501 1062 113 373 -384 1058 -747 -2106 
-196 -735 1195 108 384 -553 1105 -822 -2151 
-395 -817 981 -142 99 -537 1064 -944 -2170 
-351 -733 974 -182 45 -365 1006 -1054 -2215 
-562 -699 710 -63 26 -175 960 -1106 -2228 
-663 -808 1038 -81 21 -54 960 -1117 -2254 
-650 -895 1009 -159 -143 144 937 -1141 -2267 
-86 -892 750 -309 -311 392 983 -1112 -2280 
126 -716 715 -533 -530 495 1035 -1083 -2299 
833 -732 762 -961 -788 453 1047 -1071 -2319 
1317 -260 -139 -1181 -1066 469 1064 -1106 -2396 
693 -432 -252 -716 -882 445 1087 -1065 -2338 
1074 -218 -994 -925 -916 286 1093 -1048 -2338 
407 -660 -563 -1101 -1054 189 1047 -1106 -2351 
1125 -167 -1135 -1119 -1032 121 1006 -1152 -2417 
263 -842 -568 -675 -751 57 1001 -1198 -2448 
595 -569 -975 -280 -259 -146 931 -1210 -2474 
256 -872 -703 -237 -173 -101 914 -1239 -2526 
272 -743 -1275 -132 0 -74 902 -1256 -2551 
354 -865 -1259 95 246 29 885 -1268 -2577 
625 -521 -1055 572 802 141 920 -1262 -2564 
899 -281 -761 735 954 5 949 -1233 -2526 
964 -72 -143 849 991 -189 937 -1227 -2474 
631 -82 384 1214 1067 -217 937 -1193 -2364 
583 -28 760 1292 884 -265 972 -1112 -2234 
140 -192 954 962 530 -297 1001 -984 -2151 
67 -137 955 573 280 -287 1012 -926 -2125 
126 -36 1009 267 94 -156 1024 -897 -2093 
155 1 960 107 25 -92 1006 -892 -2080 
262 91 833 57 -8 -53 995 -880 -2086 
162 44 1026 36 10 -35 989 -886 -2066 
219 65 1000 70 33 -35 977 -874 -2080 
196 74 1045 46 2 -20 1006 -863 -2060 
131 60 1046 53 22 -20 983 -851 -2060 
168 71 1033 38 0 -14 989 -863 -2060 
127 81 1008 -24 -47 -6 983 -869 -2054 
104 92 944 15 -19 2 989 -857 -2067 
150 112 1039 12 -23 11 972 -840 -2073 
154 120 999 -46 -38 4 972 -874 -2054 
147 122 956 3 -25 10 966 -869 -2054 
183 128 978 14 -7 13 960 -851 -2041 
167 119 981 -4 -7 7 966 -845 -2041 
197 131 1003 -8 -1 4 972 -851 -2035 
203 122 1001 -9 -3 -2 972 -863 -2048 
180 127 983 3 -3 -6 960 -857 -2028 
184 134 962 -4 -2 -5 960 -863 -2028 
190 125 1021 -6 1 -2 949 -851 -2027 
184 123 982 -18 0 -5 977 -863 -2028 
189 125 997 -15 -2 -4 966 -863 -2048 
197 133 995 -10 1 -3 966 -857 -2054 
207 134 970 -11 2 -4 966 -874 -2060 
212 120 1004 -12 7 -7 966 -874 -2041 
203 111 1002 -23 7 -10 983 -874 -2060 
233 124 975 -25 3 -7 949 -897 -2073 
236 120 961 -3 16 -6 954 -886 -2047 
248 114 975 6 34 -14 972 -903 -2060 
316 128 939 -1 38 -25 977 -897 -2066 
263 94 885 43 69 -36 960 -892 -2079 
193 -2 1031 79 120 -62 977 -897 -2093 
110 -69 1101 10 94 -77 1001 -892 -2105 
107 -65 1047 19 76 -72 1018 -903 -2105 
118 -63 1048 23 50 -57 1006 -938 -2125 
194 -21 982 -29 19 -58 995 -932 -2125 
263 14 944 -5 25 -54 1006 -938 -2118 
287 -19 907 16 65 -73 1006 -944 -2119 
226 -132 965 16 123 -112 1012 -944 -2131 
286 -188 997 -7 159 -150 1001 -984 -2157 
128 -274 1026 -67 157 -169 1001 -1019 -2202 
157 -259 915 -16 122 -166 989 -1059 -2203 
72 -296 1136 -89 71 -163 983 -1094 -2221 
-29 -350 1239 -129 17 -128 949 -1123 -2261 
-28 -408 1322 -110 -77 -13 925 -1141 -2280 
53 -454 1304 -210 -228 100 937 -1175 -2305 
389 -311 1270 -365 -448 250 943 -1146 -2312 
465 -334 938 -586 -683 208 949 -1164 -2370 
605 -190 29 -827 -937 184 920 -1204 -2395 
745 -181 -266 -856 -1016 252 931 -1216 -2467 
736 -328 -375 -914 -983 234 949 -1233 -2519 
582 -363 -782 -889 -1000 196 989 -1210 -2590 
376 -782 -472 -717 -971 93 1047 -1175 -2603 
678 -542 -1127 -603 -880 10 1064 -1146 -2577 
360 -951 -455 -322 -569 -71 1041 -1152 -2557 
317 -877 -1264 -259 -353 -179 1001 -1187 -2544 
51 -1084 -928 -162 -141 -142 966 -1210 -2551 
-35 -1045 -1560 69 214 -62 954 -1222 -2545 
476 -784 -1102 343 574 134 966 -1239 -2570 
927 -367 -828 687 894 178 1018 -1193 -2577 
796 -317 -401 767 919 -110 1006 -1198 -2551 
829 9 118 934 886 -210 983 -1204 -2493 
691 -9 354 1021 740 -257 977 -1169 -2383 
633 80 642 863 532 -346 937 -1146 -2305 
410 61 828 852 445 -283 943 -1083 -2176 
335 97 924 655 278 -257 931 -1013 -2105 
190 119 954 448 157 -210 943 -938 -2079 
123 126 924 318 117 -147 937 -903 -2028 
95 145 976 216 80 -105 937 -857 -2008 
68 133 995 152 75 -90 925 -822 -2047 
58 145 951 124 47 -57 931 -822 -2008 
25 118 1044 64 38 -42 937 -799 -2008 
27 114 999 31 27 -31 949 -799 -2002 
-34 95 1039 29 14 -13 960 -787 -2021 
2 121 1036 8 9 -7 943 -787 -1976 
41 113 1001 -25 -28 2 954 -793 -1995 
11 115 1020 -40 -43 -3 925 -793 -1995 
32 147 990 -17 -9 -4 937 -805 -2001 
36 149 996 -8 -2 1 931 -816 -1995 
24 136 1043 -23 -3 -4 943 -811 -2008 
27 131 1007 -6 0 -4 949 -822 -2001 
43 137 1004 -7 -13 -3 931 -811 -2008 
60 149 980 -37 -19 -6 931 -816 -2001 
58 140 995 -22 -9 -6 920 -828 -1995 
80 151 1026 -26 -4 -5 914 -845 -2008 
101 158 991 -43 -8 -6 920 -840 -2008 
75 145 990 -20 -2 -7 920 -845 -2014 
96 153 1018 1 13 -6 908 -851 -2014 
93 144 1021 -19 7 -7 931 -874 -2014 
87 145 1015 -8 11 -8 931 -880 -2014 
102 149 1008 -6 6 -4 937 -868 -2001 
112 144 1011 -27 -2 -6 925 -874 -2027 
108 132 1005 -14 2 -6 943 -886 -2021 
146 139 1017 0 4 -4 931 -886 -2027 
115 127 1022 -16 6 -5 931 -886 -2034 
131 143 986 -2 6 -2 937 -874 -2033 
135 127 1029 3 6 0 931 -874 -2040 
141 130 1014 -8 5 -1 920 -886 -2027 
145 132 979 -1 6 -2 925 -880 -2027 
194 136 974 13 14 -3 914 -868 -2027 
256 94 953 11 25 -12 931 -892 -2046 
319 63 826 35 60 -27 931 -880 -2034 
389 48 889 73 105 -38 948 -897 -2040 
671 132 994 121 158 -58 966 -868 -2059 
480 -10 882 71 185 -129 995 -857 -2053 
383 -228 769 -63 166 -242 1001 -897 -2092 
-108 -473 1162 -220 225 -338 989 -973 -2150 
-215 -575 1378 -252 212 -379 972 -1065 -2227 
-497 -752 1436 -285 18 -275 925 -1164 -2292 
-212 -601 1705 -310 -176 -43 885 -1198 -2324 
372 -361 1302 -690 -532 175 879 -1233 -2421 
543 -348 642 -866 -836 212 902 -1256 -2537 
1114 -118 154 -1083 -1148 137 931 -1233 -2641 
564 -462 -651 -1006 -1244 119 1006 -1187 -2673 
612 -675 -285 -577 -1113 63 1058 -1164 -2647 
366 -798 -1146 -626 -1096 28 1099 -1129 -2576 
630 -829 -446 -483 -974 -24 1082 -1152 -2479 
334 -1056 -752 -514 -796 -17 1024 -1135 -2434 
454 -848 -713 -211 -403 -127 966 -1187 -2427 
254 -1026 -856 -158 -174 -69 954 -1198 -2440 
292 -1074 -1329 -20 54 -65 920 -1227 -2448 
530 -900 -1006 251 512 -16 925 -1221 -2460 
869 -541 -700 375 922 -44 954 -1221 -2472 
968 -134 -439 651 1147 -260 943 -1216 -2499 
759 94 249 959 1160 -415 891 -1233 -2454 
640 248 787 1058 1041 -447 856 -1239 -2318 
382 166 561 952 657 -405 827 -1158 -2201 
231 225 1018 521 312 -330 810 -1083 -2118 
309 282 824 268 198 -203 786 -1054 -2072 
274 267 766 309 175 -133 798 -996 -2034 
302 279 970 148 124 -92 810 -961 -2021 
324 297 793 31 54 -47 821 -973 -2033 
267 299 942 74 49 -28 827 -944 -2020 
260 293 923 43 64 -26 844 -955 -2014 
233 257 995 19 51 -12 856 -926 -2008 
169 225 1017 20 50 -16 862 -938 -2027 
176 234 969 32 42 -15 856 -944 -2021 
154 233 987 24 30 -5 856 -932 -2033 
152 219 930 36 36 -8 867 -932 -2007 
170 210 971 31 33 -9 879 -926 -2021 
181 191 1011 0 29 -11 885 -921 -2027 
188 183 993 -24 13 -11 891 -921 -2020 
189 181 1012 -3 16 -4 896 -932 -2040 
169 163 1020 5 26 3 891 -926 -2033 
153 190 975 -2 15 4 896 -926 -2034 
189 177 1000 -22 -3 8 908 -944 -2040 
186 178 988 -17 12 5 902 -944 -2021 
194 181 971 12 25 6 908 -926 -2047 
222 169 1007 -7 8 0 908 -932 -2040 
205 158 1017 -22 -4 -10 914 -932 -2053 
190 160 989 3 12 -6 914 -938 -2066 
200 158 981 14 12 -2 908 -944 -2039 
184 137 1000 6 13 -4 908 -938 -2066 
221 148 972 5 13 -7 914 -932 -2047 
216 125 984 13 20 -8 920 -932 -2047 
238 111 901 23 37 -14 925 -932 -2060 
431 143 909 10 52 -19 920 -926 -2059 
493 151 900 25 107 -37 943 -926 -2060 
330 23 967 103 239 -93 954 -926 -2066 
316 -41 906 81 230 -118 983 -926 -2118 
348 -91 933 27 162 -177 1001 -949 -2117 
419 -100 1007 2 159 -230 989 -1002 -2143 
151 -445 911 36 183 -229 989 -1013 -2176 
186 -373 1320 -207 -24 -299 966 -1077 -2194 
-52 -378 1018 -310 -74 -208 902 -1158 -2253 
-274 -525 1134 -13 125 -165 862 -1181 -2279 
-381 -593 1478 2 95 -102 850 -1192 -2285 
-369 -731 1587 -100 -76 28 844 -1216 -2305 
-168 -712 1031 -290 -357 156 844 -1216 -2324 
393 -535 1143 -617 -627 287 867 -1239 -2382 
614 -705 983 -923 -1074 305 885 -1245 -2492 
726 -904 -876 -589 -1342 296 931 -1250 -2499 
909 -746 -404 -771 -1592 298 937 -1210 -2466 
644 -926 -918 -839 -1356 315 948 -1210 -2466 
204 -1059 -766 -373 -1037 138 960 -1193 -2408 
1112 -565 -748 -297 -712 75 902 -1221 -2356 
388 -1005 -1002 -287 -544 96 896 -1221 -2383 
602 -918 -1235 -57 -164 -83 862 -1233 -2363 
549 -935 -904 35 215 -55 862 -1250 -2382 
893 -544 -1063 279 523 -72 856 -1227 -2370 
927 -405 -720 325 682 -105 896 -1227 -2363 
849 -316 -299 489 1000 -248 908 -1216 -2395 
1051 101 266 752 1064 -289 896 -1204 -2370 
686 88 655 842 878 -329 914 -1193 -2292 
506 57 769 828 642 -433 902 -1135 -2221 
203 84 804 755 528 -319 896 -1065 -2131 
204 86 857 514 340 -191 925 -990 -2098 
227 54 1050 271 195 -106 931 -950 -2098 
236 111 963 154 155 -61 977 -938 -2098 
183 112 951 145 51 -21 960 -897 -2066 
188 157 913 108 -11 -6 977 -869 -2060 
235 91 1118 41 -19 2 983 -868 -2053 
138 151 942 113 -29 7 960 -863 -2040 
84 154 979 176 -36 29 954 -828 -2033 
64 227 962 72 -89 24 943 -793 -2014 
64 207 1024 7 -144 14 908 -770 -2014 
80 230 1110 -21 -136 28 896 -782 -1962 
86 252 1032 35 -32 68 885 -776 -1975 
101 291 1088 89 25 93 885 -735 -1937 
17 288 838 79 23 71 908 -718 -1975 
59 222 1008 97 19 34 902 -678 -1962 
45 188 1053 -26 -1 -22 902 -666 -1949 
207 83 994 -106 -2 -68 885 -730 -1969 
-22 192 924 190 200 69 931 -712 -1982 
-181 92 902 320 153 104 960 -614 -1982 
-66 146 919 196 119 6 989 -573 -1995 
-255 73 925 42 128 -14 1029 -539 -2020 
-146 4 1017 -62 13 -107 1012 -544 -2053 
-71 20 1041 -102 -44 -119 1041 -579 -2020 
-41 96 980 -20 -36 -98 1018 -620 -2014 
-172 130 855 77 11 14 1012 -631 -2027 
-178 123 873 41 -37 -17 1024 -597 -2014 
23 28 1059 -215 -157 -110 972 -649 -1981 
-210 116 935 -63 -43 0 972 -689 -1988 
-166 146 935 114 46 73 977 -666 -1981 
-154 -11 1080 2 -25 34 972 -649 -1975 
1 134 923 -33 51 19 960 -637 -1981 
32 173 1053 -340 -67 -17 995 -701 -2001 
113 196 978 -256 -110 1 948 -735 -2001 
258 29 1080 -148 50 -3 954 -782 -2007 
235 61 990 -173 99 -18 966 -840 -2039 
47 170 942 26 14 34 995 -834 -2046 
288 -127 1007 143 113 29 1006 -799 -2052 
187 105 1029 78 59 35 1029 -793 -2078 
-24 2 1049 198 30 52 1041 -747 -2053 
52 -18 1018 101 37 16 1029 -724 -2052 
52 44 1042 -43 -17 11 1047 -712 -2046 
33 27 1073 -23 -9 18 1041 -712 -2053 
52 9 1029 -30 -1 -21 1024 -724 -2072 
80 26 1051 -60 -17 -31 1041 -735 -2060 
51 33 986 33 40 -23 1047 -735 -2059 
155 35 969 4 49 -47 1064 -753 -2065 
222 22 986 -31 39 -76 1053 -759 -2072 
392 -6 968 12 66 -94 1053 -776 -2091 
477 5 893 3 65 -135 1064 -805 -2098 
461 -98 837 102 147 -209 1058 -811 -2073 
329 -293 788 147 234 -295 1076 -840 -2118 
-227 -565 1033 44 262 -423 1058 -903 -2156 
-100 -539 1302 -130 170 -422 1041 -996 -2201 
-352 -603 1332 -272 47 -287 989 -1088 -2240 
-244 -548 1270 -190 -38 -84 954 -1129 -2272 
124 -380 1203 -343 -273 43 948 -1158 -2317 
384 -269 1092 -659 -540 68 937 -1227 -2369 
647 -66 740 -760 -695 87 931 -1239 -2479 
1027 114 -160 -806 -787 86 931 -1250 -2556 
1123 148 199 -1269 -1055 1 972 -1233 -2679 
216 -363 -657 -1325 -1024 -137 989 -1164 -2827 
518 -357 -594 -944 -917 -228 1058 -1083 -2898 
286 -538 -706 -498 -670 -226 1099 -1065 -2865 
348 -578 -966 -322 -593 -229 1122 -1071 -2814 
252 -668 -721 -234 -468 -241 1099 -1071 -2768 
189 -787 -999 -91 -319 -216 1099 -1106 -2724 
155 -745 -796 -66 -200 -185 1076 -1158 -2672 
65 -813 -992 -108 -115 -149 1047 -1175 -2672 
-34 -850 -1304 -11 -20 -99 1018 -1193 -2679 
29 -799 -1381 52 126 16 995 -1204 -2686 
176 -655 -951 186 367 109 1018 -1210 -2698 
556 -310 -942 416 623 142 1018 -1181 -2724 
830 -115 -689 659 716 102 1001 -1181 -2698 
880 19 -235 923 869 31 995 -1221 -2614 
784 3 158 1042 890 -52 977 -1204 -2575 
679 12 837 1182 854 -104 977 -1198 -2440 
617 -44 629 1111 644 -95 1006 -1117 -2305 
325 -105 1097 848 334 -80 1024 -1013 -2194 
250 -83 934 515 196 -93 1064 -938 -2175 
275 16 949 416 123 -37 1058 -863 -2136 
128 -32 1051 224 51 -37 1064 -822 -2123 
134 9 947 172 10 -37 1076 -805 -2104 
132 12 1000 138 -39 -23 1064 -776 -2078 
47 -4 959 11 -61 -49 1058 -764 -2065 
41 17 951 12 -29 -42 1029 -776 -2052 
78 15 1041 1 -8 -23 1024 -770 -2072 
136 31 1008 -50 -28 -10 1018 -787 -2052 
111 26 1038 -43 -7 -8 1029 -799 -2078 
92 7 1033 -3 22 -16 1041 -816 -2078 
99 13 1002 -32 -6 -17 1035 -811 -2072 
74 9 1007 -32 17 -18 1035 -816 -2065 
135 -3 982 -27 39 -23 1024 -834 -2084 
158 -8 1009 -37 21 -21 1024 -851 -2085 
140 -32 1037 -14 31 -21 1029 -857 -2091 
159 -50 1025 4 41 -23 1041 -857 -2104 
147 -52 1017 -14 27 -17 1047 -857 -2110 
134 -46 1018 -2 32 -13 1053 -874 -2123 
127 -76 990 0 27 -14 1058 -868 -2123 
129 -97 1022 -7 27 -7 1058 -886 -2110 
177 -76 1001 9 22 -7 1070 -868 -2117 
164 -64 951 33 47 -8 1070 -880 -2129 
206 -124 1025 48 76 -14 1070 -863 -2136 
177 -138 949 89 89 -21 1082 -857 -2129 
186 -159 1000 133 103 -23 1093 -828 -2149 
137 -179 959 113 116 -56 1116 -851 -2168 
91 -271 964 107 78 -84 1134 -834 -2187 
-134 -305 903 59 43 -110 1110 -857 -2162 
-282 -329 716 71 57 -102 1110 -868 -2175 
-266 -320 1190 -107 36 -96 1093 -874 -2181 
-129 -292 1178 -390 -58 -54 1093 -920 -2226 
168 -255 995 -720 -258 -10 1082 -1002 -2265 
909 -72 445 -1031 -467 78 1058 -1083 -2362 
1211 45 369 -1362 -608 75 1047 -1152 -2503 
1168 72 -161 -1478 -694 -72 1058 -1164 -2691 
703 -42 -446 -1322 -738 -162 1082 -1088 -2865 
617 -206 -775 -1067 -686 -203 1122 -1030 -2897 
317 -336 -871 -782 -555 -259 1151 -961 -2936 
113 -490 -795 -538 -381 -299 1168 -949 -2910 
-18 -481 -858 -427 -285 -305 1157 -973 -2904 
-307 -673 -1036 -343 -220 -273 1145 -984 -2910 
-247 -565 -1041 -232 -120 -199 1139 -996 -2911 
-326 -629 -1063 -126 -12 -94 1134 -996 -2917 
-326 -554 -1080 -45 62 -4 1105 -1007 -2943 
-33 -343 -1063 255 277 188 1093 -978 -2956 
407 -199 -1050 683 449 319 1105 -1030 -2956 
628 -108 -744 918 503 198 1076 -1065 -2891 
952 184 -233 1132 610 83 1035 -1135 -2807 
1018 133 -99 1178 624 6 1012 -1192 -2672 
901 96 381 1114 503 -89 1001 -1198 -2510 
739 98 757 1106 455 -116 989 -1158 -2349 
576 62 769 914 354 -95 1012 -1071 -2226 
401 37 1024 668 216 -77 1029 -949 -2155 
207 10 862 536 151 -52 1029 -868 -2116 
123 10 1062 446 121 -39 1070 -770 -2116 
113 13 1012 195 43 -47 1076 -758 -2091 
-31 -17 913 162 3 -43 1076 -712 -2097 
-42 -16 972 148 17 -45 1070 -695 -2065 
-63 -23 994 2 -5 -35 1070 -706 -2058 
-103 -24 1006 -1 -6 -26 1064 -706 -2084 
-56 -21 995 24 -3 -15 1070 -683 -2065 
-17 -8 1026 -26 -10 -7 1058 -706 -2071 
-26 -3 1036 1 12 -7 1035 -701 -2064 
-24 -7 1030 15 10 -10 1058 -701 -2091 
-22 -2 1035 -10 -6 -9 1058 -701 -2071 
-40 -23 1038 -23 -5 -8 1041 -701 -2084 
-26 -12 1003 0 2 -3 1064 -695 -2091 
-40 -23 1017 -8 -4 -2 1064 -712 -2071 
-7 -11 1015 -55 -20 -1 1041 -706 -2071 
1 -16 1047 -66 -19 1 1047 -730 -2065 
8 -14 1006 -15 2 4 1058 -753 -2084 
27 -6 1020 -10 -3 6 1058 -730 -2084 
44 -2 1030 -32 -11 6 1047 -730 -2059 
36 -7 1032 -15 -2 0 1064 -747 -2084 
57 1 1017 -6 -2 1 1058 -753 -2071 
74 6 1032 -27 -9 0 1058 -747 -2077 
64 7 1007 -28 -11 -4 1058 -770 -2071 
68 6 1006 -4 -2 -4 1035 -758 -2058 
49 -6 1016 -10 1 -7 1047 -758 -2078 
72 -1 1020 -5 2 -5 1047 -770 -2071 
78 6 1018 -10 -3 -5 1041 -764 -2078 
78 16 1032 -16 -12 -10 1035 -770 -2078 
113 51 1018 -21 -40 -15 1029 -776 -2084 
119 68 967 -34 -63 -25 1018 -776 -2065 
138 70 1024 -32 -64 -37 1006 -799 -2045 
215 123 998 25 -28 -34 995 -805 -2033 
234 110 824 106 -3 -58 995 -782 -2052 
258 49 912 44 42 -121 983 -787 -2026 
322 32 768 -2 139 -169 983 -816 -2052 
83 -38 1029 26 191 -224 1012 -845 -2078 
84 -80 1235 -166 112 -254 995 -909 -2110 
126 -55 1425 -435 -140 -161 995 -990 -2129 
17 47 1670 -432 -267 -13 931 -1059 -2187 
447 -12 1077 -384 -414 148 902 -1111 -2213 
912 231 873 -697 -757 323 902 -1163 -2251 
650 82 -88 -1102 -1007 386 879 -1216 -2348 
737 56 -387 -1371 -1046 422 925 -1233 -2530 
